Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Category,Summary,Year
Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-10,1980-04-17,2728.1,706.8,7,Wet Weather Events,"Severe storms and flooding affect several states (AR, LA, MS) across the South.",1980
Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2212.6,590,13,Storm Events,"Category 3 hurricane makes landfall north of Brownsville, Texas with maximum sustained winds of 115 mph. Hurricane Allen causes rainfall up to 20 inches in southern Texas and storm surge as high as 12 feet along the coast.",1980
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06-01,1980-11-30,40180.2,10020,1260,Dry Weather Events,"Central and eastern U.S. drought/heat wave caused damage to agriculture and other related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 10,000.",1980
Florida Freeze (January 1981),Freeze,1981-01-12,1981-01-14,2053.5,572,0,Wet Weather Events,"Severe freeze heavily damaged fruit crops across Florida. Over 25,000 Florida farms were impacted and sustained losses.",1981
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-05,1981-05-10,1397,401.4,20,Storms Events,"Severe storms cause damage across the Midwest and South. The states most impacted include TX, OK, KS, AL and LA.",1981
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-08,1982-01-16,2191,662,85,Wet Weather Events,"Winter storm and cold wave affect numerous states (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV) across the Midwest, Southeast and Northeast.",1982
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-02,1982-04-04,1589.8,483.2,33,Storms Events,"Tornadoes and severe weather affect the states (AL, AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, OH, OK, PA, TN, TX, WI, WV) across the Midwest, Plains and Southeast.",1982
Severe Storms (June 1982),Severe Storm,1982-05-31,1982-06-10,1564.5,479.9,30,Storms Events,"Severe storms cause damage across the South, Southeast and Central regions. The states impacted include AR, IL, KY, IN, SC, GA and OH.",1982
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,1983-01-15,4900.1,1536.1,45,Wet Weather Events,"Severe storms and flooding, especially in the states of TX, AR, LA, MS, AL, GA, and FL",1982
Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12-13,1983-03-31,4783.8,1499.6,50,Wet Weather Events,"Severe storms and flooding, especially in the states of WA, OR, CA, AZ, NV, ID, UT, and MT",1982
Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9360,3000,21,Storm Events,"Category 3 hurricane makes landfall near Galveston, Texas with maximum sustained winds 115 mph. Hurricane Alicia was the first hurricane to hit the United States mainland since Hurricane Allen in August 1980.",1983
Southeast Drought (Summer 1983),Drought,1983-06-01,1983-08-31,9455.5,2964.1,0,Dry Weather Events,"1983 flash drought in the southeastern U.S. with losses to agriculture, most notably corn and soybeans. The states impacted include AL, AR, GA, KY, LA, MO, MS, NC, SC, TN and VA.",1983
Arizona Flooding (October 1983),Flooding,1983-09-29,1983-10-03,1240,400,14,Wet Weather Events,"Throughout the state, excessive rainfall caused many rivers to overflow. After the rain ended the Santa Cruz, Rillito and Gila rivers experienced their highest crests on record. Five towns including Clifton, Duncun, Winkelman, Hayden and Marana were alomost completely flooded. In Marana many homes were submerged forcing residents to be evacuated. Over 700 homes were destroyed in Clifton. In addition, 86 of the town's 126 businesses were heavily damaged due to the flooding. Around 3,000 buildings were destroyed due to this flooding.",1983
Freeze/Cold Wave (December 1983),Freeze,1983-12-15,1983-12-25,6398.8,2005.8,151,Wet Weather Events,Severe freeze damages citrus crops across central/northern Florida. Associated cold wave over much of the U.S. causes over 100 deaths and additional damages.,1983
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03-27,1984-04-07,1833.1,603.1,80,Storms Events,"States in the Southeast and Northeast regions are impacted by tornadoes, severe storms, and flooding. The states impacted include GA, FL, SC, NC, VA, MD, DE, NJ, NY, PA, CT, MA and RI.",1984
Severe Storms and Hail (June 1984),Severe Storm,1984-06-13,1984-06-17,1343.1,446.2,1,Storms Events,"Severe storms and hail impact Colorado, South Dakota and Nebraska.",1984
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01-19,1985-01-22,2477.2,836.9,150,Wet Weather Events,"Extreme cold and winter storms in the Southeast, South, Southwest, Northeast, Midwest, and North",1985
Florida Freeze (January 1985),Freeze,1985-01-20,1985-01-22,3552,1200,0,Wet Weather Events,Severe freeze over central/northern Florida damages citrus crops.,1985
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05-31,1985-05-31,1740,600,89,Storms Events,"Historic tornado outbreak caused widespread damage across eastern Ohio, western Pennsylvania into New York and Canada. Dozens of tornadoes caused widespread destruction to many homes, businesses, farms and infrastructure. 89 people also lost their lives, which made this tornado outbreak the most deadly across the U.S. during the 1980s. There were also more than 1,000 reports of injury.",1985
Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3749.5,1297.4,4,Storm Events,"Category 3 hurricane approaches the Florida Panhandle prior to landfall near Biloxi, Mississippi. Considerable wind and rain impacts were felt from Florida to Louisiana.",1985
Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2465.5,856.1,11,Storm Events,"Category 2 hurricane makes several landfalls along the eastern seaboard, affecting states from North Carolina to Maine.",1985
Hurricane Juan (October 1985),Tropical Cyclone,1985-10-27,1985-10-31,4295.6,1496.7,63,Storm Events,"Category 1 hurricane makes landfall near Morgan City, Louisiana. Hurricane Juan's slow movement causes severe flooding in Louisiana, Mississippi, Alabama and Florida. Southern Louisiana was most severely affected due to widespread rainfall of 10-15 inches that caused substantial flooding.",1985
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985-11-03,1985-11-08,4018,1400,62,Wet Weather Events,"Historic flooding damaged or destroyed over 10,000 homes and businesses across West Virginia and Virginia. Rainfall exceeded 19 inches, which forced the Roanoke and James Rivers, among others, to record levels. The damage in Virginia was most severe in the towns of Roanoke and Richmond. In Pennsylvania, floods also damaged or destroyed several thousand homes. Maryland experiened severe but more isolated flooding and damage.",1985
