Name,Disaster,Begin Date,End Date,Summary,CPI-Adjusted Cost,Deaths
Southern and Eastern Severe Weather (April 2024),Severe Storm,08/04/2024,11/04/2024,"Southern and eastern severe weather produced tornadoes, hail and high wind, from Texas to Virginia. The event began with severe hail and high wind impacts across central and eastern Texas, followed by more than 20 tornadoes impacting the Gulf Coast counties of Louisiana, Mississippi, Alabama and Florida. There were additional high wind and tornado impacts in North Carolina and Virginia.",1.5,0
Central Tornado Outbreak and Eastern Severe Weather (April 2024),Severe Storm,01/04/2024,03/04/2024,"A central tornado outbreak produced more than 85 tornadoes across a three-day period from Oklahoma to West Virginia. This outbreak included 19 EF-0, 52 EF-1 and 14 EF-2 tornadoes, which were most concentrated across the Ohio River Valley on April 1-2. These tornadoes and severe weather impacts across several eastern states caused damage to homes, businesses, vehicles and other infrastructure.",1.8,3
Central and Southern Severe Weather (March 2024),Severe Storm,13/03/2024,15/03/2024,"Damaging hail, tornadoes and high wind from severe storms impact many Central and Southern states. Kansas, Oklahoma and Missouri were affected by up to baseball-sized hail damaging homes, vehicles, businesses.  Illinois, Indiana and Ohio were impacted by hail, high wind and dozens of tornadoes including a deadly EF-3 striking northwest Ohio.",4.4,3
Southern Severe Weather (February 2024),Severe Storm,10/02/2024,12/02/2024,"Severe storms produced up to golf ball sized hail across central and eastern Texas causing damage to homes, vehicles and businesses. Additional damage from hail and high winds also occurred in Louisiana, Alabama, Georgia, Florida and North Carolina.",1.2,0
Central and Southern Winter Storm and Cold Wave (January 2024),Winter Storm,14/01/2024,18/01/2024,"A bitterly cold airmass affected numerous central and southern states most including Illinois, Missouri, Kansas, Texas, Mississippi, Arkansas, Tennessee and Georgia. This long-duration cold wave produced sleet and freezing rain accumulations into the deep south, across much of Mississippi. High winds also pushed wind chills well below zero for many states contributing to dozens of fatalities, many in Tennessee. Damage also occurred to homes, vehicles and businesses from the high winds and frozen precipitation.",1.3,41
Northwest Winter Storm (January 2024),Winter Storm,12/01/2024,15/01/2024,"A strong artic front moved across Western Washington and Oregon on January 12 and 13 dropping temperatures below freezing. This allowed freezing rain to impact areas along the coast and the Willamette Valley northward into southwest Washington. Numerous locations including Springfield and the Portland metro area were affected by the icing and strong winds, which caused significant tree damage and power outages. Numerous homes, businesses, vehicles and other infrastructure were damaged.",1.1,20
Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,08/01/2024,10/01/2024,"Southern tornado outbreak and east coast storm impacted more than a dozen states. At least 39 preliminary tornadoes were clustered around the Florida Panhandle through the Carolinas while hundreds of high wind reports were scattered up the East Coast reflecting damage to homes, businesses, vehicles and other infrastructure. The strongest tornado was an EF-3 that caused significant damage around Panama City Beach, Florida, after an intense waterspout moved onshore.",2.7,3
East Coast Storm and Flooding (December 2023),Flooding,16/12/2023,18/12/2023,"Powerful east coast storm from Florida to Maine produced widespread impacts from heavy rainfall, flooding, high winds and coastal erosion. The heavy rainfall and snowmelt were amplified by record-high temperatures in the Northeast.",1.3,5
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,01/04/2023,30/09/2023,"Drought conditions impacted numerous Southern and Midwestern states (TX, LA, OK, KS, IL, MO, NE) and surrounding states. The agriculture sector has been impacted across these affected states including damage to field crops from lack of rainfall. Ranchers have also been forced to sell-off livestock early in some regions due to high feeding costs. For the second straight year, portions of the Mississippi River have experienced low water levels impacting river commerce. This low flow has also allowed salt water from the Gulf of Mexico to migrate northward, along the bottom of the Mississippi River, impacting water quality in southern Louisiana. Several Northwestern states including Washington, Oregon and Montana have also been impacted by increasing drought effects.",14.6,247
Southern Hail Storms (September 2023),Severe Storm,23/09/2023,24/09/2023,"Hail storms impact Texas, Oklahoma and Missouri. The most damaging impacts were in central Texas including Austin, Georgetown, Round Rock and Arlington on September 24. Towns north of Austin in particular were impacted by baseball sized hail causing damage to homes, vehicles and businesses.",1.7,0
Hurricane Idalia (August 2023),Tropical Cyclone,29/08/2023,31/08/2023,"Hurricane Idalia made landfall near Keaton Beach in the Big Bend region of Florida as a strong Category 3 hurricane with winds of 125 mph. Idalia was the strongest hurricane to hit the Big Bend region in more than 125 years. Storm surge was about 8 feet above ground at Cedar Key, which caused heavy damage to homes, businesses, vehicles and other infrastructure. Other Big Bend coastal communities were also inundated by storm surge. Idalia produced 5 to 10 inches of rainfall across the Big Bend region of Florida and southeastern portions of Georgia and the Carolinas. The relatively low population density of the Big Bend region helped to reduce the physical exposure and damage costs. Significant flooding was reported in downtown Charleston, SC and nearby Edisto Beach. There was also 2 to 4 feet of storm surge along the Carolina coastline, which was exacerbated by the full moon and high tide cycle.",3.5,5
Minnesota Hail Storms (August 2023),Severe Storm,11/08/2023,11/08/2023,"Numerous hail storms caused extensive damage across south-central Minnesota. Golf ball to baseball-sized hail caused damage to the windows, siding and roofs of many homes, vehicles and businesses.",1.8,0
Hawaii Firestorm (August 2023),Wildfire,08/08/2023,08/08/2023,"Devastating wildfires destroyed the historic town of Lahaina on Maui Island of Hawaii. Winds were enhanced from the strength and position of a high-pressure system located northwest of Hawaii, which helped to exacerbate the wildfire as it spread on the island of Maui. Hurricane Dora was also positioned south of Hawaii. This was the deadliest wildfire in the U.S. in over a century. Thousands of homes, vehicles and businesses were destroyed.",5.6,100
Northeastern and Eastern Severe Weather (August 2023),Severe Storm,05/08/2023,08/08/2023,"More than one thousand reports of high wind, severe hail or tornadoes across many Northeastern and Eastern states. August 7 was a prolific day of severe weather with damage reports from Georgia to New York. These storms caused impacts to many homes, vehicles, businesses, agriculture and other infrastructure.",1.7,4
North Central and Eastern Severe Weather (July 2023),Severe Storm,28/07/2023,29/07/2023,"Severe storms caused damage across several North Central and Eastern states. The state most impacted were Nebraska, Missouri, Illinois, Indiana and Wisconsin. High wind, severe hail and tornadoes caused damage to many homes, vehicles, businesses and agriculture assets.",1.5,2
North Central and Southeastern Severe Weather (July 2023),Severe Storm,19/07/2023,21/07/2023,"Severe storms caused damage across several North Central and Southeastern states. The states most impacted were Michigan, Wisconsin, Ohio, Tennessee and Georgia. Ping pong to golf ball-sized hail and high winds damaged many homes, vehicles, businesses and other infrastructure.",1.9,1
